title,Affected country,type,link,description
Typhoon Koppu - Oct 2015,Philippines,Flood,https://reliefweb.int/disaster/tc-2015-000143-phl,"In the afternoon of 14 October 2015, Typhoon Koppu (known locally as ""Lando"") entered the Philippine Area of Responsibility. A total of 72 families, or 219 people, have been pre-emptively evacuated in the Province of Isabela (Govt, 17 Oct 2015)."
Guatemala: Floods and Landslides - Oct 2015,Guatemala,Flood,https://reliefweb.int/disaster/ls-2015-000138-gtm,"Heavy rains in Guatemala on  6 Jun 2015 resulted in floods and landslides, affecting more than 8,000 people in the departments of Guatemala and Sacatepéquez. (Gov. of Guatemala, 7 Jun 2015)"
South Sudan: Food Insecurity - 2015-2022,South Sudan,Drought,https://reliefweb.int/disaster/ce-2015-000183-ssd,"3.9 million people – nearly one in every three people in South Sudan – were severely food insecure and 3.6 million were considered to be ‘stressed’, in September 2015. An estimated 30,000 people were facing catastrophic food insecurity (IPC Level 5) in Unity State, leading to starvation, death, and destitution.  (OCHA, 5 Jan 2016)"
Sri Lanka: Floods and Landslides - Sep 2015,Sri Lanka,Flood,https://reliefweb.int/disaster/ls-2015-000135-lka,"Continuous heavy rain since mid-September 2015 in the southern regions resulted in floods and landslides, causing eight deaths and nine injuries. Over 7,300 people are affected by adverse weather conditions in 4 districts and 450 houses were partially damaged and 151 houses were fully damaged. A total of 344 people remain displaced in welfare centres due to flood and landslide situation. (OCHA, 5 Oct 2015)"
Chile: Earthquake - Sep 2015,Chile,Earthquake,https://reliefweb.int/disaster/eq-2015-000128-chl,"On 16 Sep 2015, a catastrophic earthquake hit the coast of Chile, causing some damage to buildings, but much of the impact due to 4.5m waves affecting Coquimbo. A tsunami will extend over the Pacific in the coming hours causing minor issues for some locations. (CEDIM, 17 Sep 2015)"
Iraq: Cholera Outbreak - Sep 2015,Iraq,Epidemic,https://reliefweb.int/disaster/ep-2015-000132-irq,"The Ministry of Health has declared a cholera outbreak in Iraq with 15 confirmed cases in two governorates as of 15 September. Ten cases originated from Najaf and five cases from Baghdad. All cases are reported to be stable and treatment has been provided. The number of unconfirmed suspected cases is increasing. The disease outbreak comes after an uptick in diarrheal cases above the normal threshold was noted in some southern and central governorates in the past weeks. To respond to the unfolding situation, the Ministry of Health and partners have deployed to the affected areas. (OCHA, 15 Sep 2015)"
Sierra Leone: Floods - Sep 2015,Sierra Leone,Flood,https://reliefweb.int/disaster/fl-2015-000131-sle,"Sustained heavy downpour of rain from the 5 to the 6 September 2015 (48 hours) burst river banks and caused destruction in eight communities in Bo and two in one Chiefdom in Pujehun District in southern Sierra Leone. The overall population in the three chiefdoms in Bo District is 8,695 of which 2,630 were directly affected losing properties and being exposed to rain with no appropriate sanitation and some evacuating and taking shelter in nearby schools. The number of people affected by the floods in Bo District is 2,630 in 239 household heads with 463 males 614 females, 645 boys, 607 girls and 301 children under five years. A total of 339 houses are reported destroyed. Pujehun District has 272 persons affected by floods with 41 household heads affected losing 16 houses."
Pacific: Drought - 2015-2017,Fiji,Drought,https://reliefweb.int/disaster/dr-2015-000127-fji,"In Fiji, many communities are experiencing the effects of an El Niño-induced drought, with farmers losing crops and water supplies drying out and water trucking underway. A drought warning is in place and the Government reports at least 30,000 people are now affected. Other El Niño effects include a drought declaration in Tonga after extremely dry weather for nearly a year and further low rainfall expected for the rest of the year. Emergency water supplies were distributed to the outer islands and water desalination services are available if needed. (OCHA, 14 Sep 2015)"
Nigeria: Floods - Aug 2015,Nigeria,Flood,https://reliefweb.int/disaster/fl-2015-000155-nga,"Heavy rains, compounded by the breakdown of dams in some states, have caused floods in 11 states across Nigeria in August and September of this year. According to the National Orientation Agency (NOA), a total of 53 people died, and 100,420 have been displaced. The floods have affected 11 States across the country, to a greater or lesser degree: Adamawa, Anambra, Benue, Delta, Kaduna, Kebbi, Niger, Ondo, Sokoto, Taraba and Zamfara. Homes and other buildings have been swept away, and agricultural areas flooded. (OCHA, 10 Nov 2015)"
Tropical Storm Erika - Aug 2015,Dominica,Tropical Cyclone,https://reliefweb.int/disaster/tc-2015-000119-dma,"Erika, the fifth named storm of the Atlantic hurricane season, formed on 24 August, 2015. On 27 Aug at 2.00pm Tropical Storm warnings remained in effect for the following countries: Anguilla, British Virgin Islands, Montserrat and St. Kitts and Nevis. Tropical Storm watches have been issued for the Southeastern Bahamas and the Turks and Caicos Islands. Preliminary reports indicate that there has been significant rainfall in Dominica that has resulted in flooding and landslides. There are reports of casualties and damage to infrastructure: 25-30 persons presumed missing in the north-eastern and south-eastern areas of Dominica. (CDEMA, 27 Aug 2015)"
Niger: Floods - Jul 2015,Niger,Flood,https://reliefweb.int/disaster/fl-2015-000123-ner,"Since late July 2015, floods caused by heavy rains have affected more than 20,000 people in the regions of Agadez, Dosso, Maradi, Niamey, Tillabéry, Tahoua and Zinder. Zinder was the most impacted by the disaster, with 35% of its population affected by the floods. (OCHA, 14 Aug 2015)"
Peru: Cold Wave - Jul 2015,Peru,Cold Wave,https://reliefweb.int/disaster/cw-2015-000104,"Since May 2015 to date, a meteorological phenomenon causing low temperatures, heavy snowfall and frost has affected the Andean regions located above 3,500 metres above sea level; temperatures have dropped below 0°C, and there have been snowstorms and hail. In some places, temperatures reached -15° C, severely affecting the lives and health of the population, as well as basic services, livelihoods
(livestock and agriculture) and the infrastructure of various structures, including schools."
Papua New Guinea: Drought and Frost - Aug 2015,PNG,Cold Wave,https://reliefweb.int/disaster/cw-2015-000116-png-0,"The National Weather Service (NWS) on 7 August 2015 declared the country will be experiencing a severe El Nino event, which is forecasted to continue for 8–10 months with reduced rainfall in all parts of the country. The situation is expected to be the worst since the 1997/98 drought. The National Disaster Centre (NDC) estimated that 2 million people are affected. The Provincial Disaster Center (PDC) of Chimbu Province reported 24 people confirmed dead as a result of prolonged drought in the Highlands region. (IFRC, 5 Sep 2015)"
Burkina Faso: Floods - Aug 2015,Burkina Faso,Flood,https://reliefweb.int/disaster/fl-2015-000106-bfa,"On the first week of August 2015, 20,000 people were affected by heavy rains and flooding in and around Burkina Faso’s capital Ouagadougou. More than 3,700 were left homeless, their houses reduced to piles of mud and debris. Making matters worse, more than 64 tonnes of cereal harvests and livestock were carried away by the floods. (IRIN, 7 Aug 2015)"
Argentina: Floods - Aug 2015,Argentina,Flood,https://reliefweb.int/disaster/fl-2015-000110-arg,"On 4 August 2015, intense storms and flooding were monitored in the central and north-eastern parts of Argentina. The intense rainfall and storms continued the following day in the province of Buenos Aires. The rainfall caused river levels to rise, which led to flooding in Lujan, San Antonio de Areco, Campana, Salto, Chacabuco, Chivilcoy, Pilar, Mar del Plata, Quilmes, La Plata, Berisso, Zarate, Mercedes, San Andres, Santos Lugares, Pergamino, Junin, Pila, Arrecifes and Venado Tuerto. Approximately, 6,184 people were evacuated and 5,000 people self-evacuated. According to the Buenos Aires Provincial Directorate for Civil Defense, this emergency has affected more than 50,000 people in the province. (IFRC, 26 Aug 2015)"
FYR Macedonia: Flash Floods and Mudslides - Aug 2015,North Macedonia,Flash Flood,https://reliefweb.int/disaster/ff-2015-000115-mkd,"The heavy rainfall that affected the western part of Macedonia on 3 August 2015 resulted in the overflow of the water from the river Pena in the city of Tetovo. The heavy rains were disastrous for the
mountain villages of Shipkovica (2,826 residents), Dzepciste (4,051 residents), Mala Rechica (8,353
residents), Golema Rechica (1,659 residents) and Poroj (2,677 residents) and the city of Tetovo (65,000 residents). The mountain villages were affected also by landslides caused by the heavy rain. Approximately 5,000 people in the region were somehow affected by the impact of the flash flood and mud slides. (IFRC, 20 Aug 2015)"
South-East Asia: Drought - 2015-2017,Viet Nam,Drought,https://reliefweb.int/disaster/dr-2015-000180-vnm,"In Viet Nam, the worst drought the country has seen in 90 years has been attributed to the El Niño weather event, with 52 out of 63 provinces having been affected by drought. Coupled with the drought's impacts, saltwater intrusion has extended up to 90 km inland in some coastal areas, leaving river water too salty for human or animal consumption, or to irrigate crops and continue fish-farming production. (FAO, 23 August 2016)"
DPR Korea: Floods - Aug 2015,DPRK,Flood,https://reliefweb.int/disaster/fl-2015-000113-prk,"Between 1 and 5 August 2015, torrential rains have caused floods in several Ri-s (villages) and in the outskirts of cities of south Hwanghae and north and south Hamgyong provinces of Democratic People’s Republic of Korea (DPRK). According to the State Committee on Emergency and Disaster Management (SCEDM), the Government of DPRK and the DPRK Red Cross Society (RCS), the floods  affected 3,541 people, claimed 24 lives and 9 people are reported missing in more than 20 affected cities/counties. (IFRC, 21 Aug 2015)"
Tropical Cyclone Komen - Jul 2015,Bangladesh,Tropical Cyclone,https://reliefweb.int/disaster/tc-2015-000101-bgd,"The monsoon depression over the northeast Bay of Bengal and adjoining Bangladesh coast intensified into a cyclonic storm named ‘Komen’ on 29 July 2015, threatening to cause further downpours in regions already affected by recent two-phased flash floods and landslides which started since end of June 2015. Since mid-July, IFRC has been monitoring the situation and working closely with BDRCS on necessary response. (IFRC, 11 Aug 2015)"
Guinea: Floods and Landslides - Jul 2015,Guinea,Flood,https://reliefweb.int/disaster/fl-2015-000105-gin,"Between 24 July and 3 August 2015, it rained heavily in the capital of Guinea, Conakry and in several areas of the country (Télimelé, Macenta, Siguiri, Beyla, Forécariah and Coyah) causing serious floods with loss of human lives as well as significant material damage. According to the initial assessment conducted by the Guinean Red Cross (GRC) with the support of IFRC country representation, 4,925 households have lost their dwellings in the six prefectures and five communes of Conakry assessed. In addition, 685 water sources have been destroyed by the floods. The majority of concerned areas have suffered from cholera epidemics in the past and are at risk again. Challenges also exist with accessing potable water. (IFRC, 12 Aug 2015)"
Brazil: Floods - Jul 2015,Brazil,Flood,https://reliefweb.int/disaster/fl-2015-000092-bra,"On 14 July 2015 Rio Grande Do Sul Civil Defence declared an emergency at the municipal level, reporting floods in several cities. The Uruguay River’s water levels reached 13.57 meters, whose average levels are barely five or six meters. This is the result of intense rainfall in the region which caused the overflowing of the Gravataí and Arrollo Sapucaya Du So rivers and floods that affected homes, roads and shops in these three States."
Iran: Flash Floods - Jul 2015,Iran,Flash Flood,https://reliefweb.int/disaster/fl-2015-000088-irn,"On Sunday July 19, 2015, a severe thunderstorm brought strong winds, heavy rainfall and flash floods to northern Iran. Based on initial assessment reports from the relief and rescue organisation; the Iranian Red Crescent, at least 11 people have been killed, 30 injured and 12 people listed as missing in unseasonable flash floods in ten provinces of Iran during the last two days. (IFRC, 22 Jul 2015)
On 4 August, IFRC reported that 16 provinces and 56 counties had been hit, leaving at least 23 people dead and 50 injured. The floods, triggered by torrential rains, caused great damage to the infrastructure of more than 140 villages. (IFRC, 4 Aug 2015)"
Guyana: Floods - Jul 2015,Guyana,Flood,https://reliefweb.int/disaster/fl-2015-000093-guy,"Heavy rainfall along Guyana’s coastal regions during the period of 15 July and 16 July 2015 has resulted in increased water levels in rivers and canals. Region 3, Essequibo Islands, West Demerara and Region 4, Demerara-Mahaica are the most affected with flooding in several communities, in yards and homes in some instances. The activation of the National Emergency Operations Centre (NEOC) was authorized. Total losses and the total number of people affected by the flooding are yet to be determined. However, based on the 2012 Preliminary Census Report, with more than 70 per cent of the country’s population living along the coastal areas, a significant number of households have been either directly or indirectly affected. (IFRC, 1 Aug 2015)"
Caribbean: Drought - 2015-2017,Haiti,Drought,https://reliefweb.int/disaster/dr-2015-000091-hti,"In Haiti, about 200,000 families (1 million people) have been affected by drought conditions since the beginning of 2015, especially in Sud-Est, Nord-Ouest and Artibonite regions. These prolonged conditions aggravated the situation of 3.8 million food-insecure people in the country. (ACAPS, 21 Jul 2015)
In July 2016, (OCHA) reported that 2015-2016 drought has caused losses of up to 70 percent of local production and has worsened the situation of food insecurity. It also highlighted that of the 193 million US dollars requested in April 2016 as part of the Humanitarian Response Plan, about 105 million (nearly 60 percent) were allocated to the sector, although about 30 percent (31 million) of the total amount requested were received at the time.
An assessment conducted by the CNSA and WFP in December 2016 shows the number of people facing hunger and food insecurity in Grande-Anse and Sud - the most affected areas - has declined steadily from approximately 1 million to 400,000. However, in the North West, Artibonite, Nippes and La Gonave, although the impact of Hurricane Matthew was smaller, its effects coupled with three years of drought and severe flooding have led to a hike in the levels of food insecurity with one million people affected. In total, more than 1.5 million people are food insecure in those six areas following this series of shocks. (CNSA/WFP/FAO 18 Jan 2017)
In late January 2017, FEWS forecasted that emergency food assistance needs will remain high until ""Printemps"" harvests in July 2017, further claiming that unless agricultural assistance is provided, many in southwestern Haiti will likely be unable to cultivate, limiting improvements from the harvest. (FEWS 25 Jan 2017) 
As of March 2017, UNICEF informed that 20 communes and localities have been selected and validated, in conjunction with OREPA/DINEPA, to benefit from the WASH/USAID drought project in the departments of South and Grand’Anse was carried out in conjunction with the Southern Prioritization Matrix. The project will cover 90,000 individuals of which almost 38,000 are children. (UNICEF, 7 Mar 2017)  
From March to June 2017, FAO-Haiti has been implementing some activities of cash-for-work in the South, South East and Grand'Anse departments, as response to the effects of Hurricane Matthew. More than 2 000 temporary jobs in plant nurseries for the production of 1.8 million seedlings are expected. In addition, 3 670 temporary jobs will be also created by cleaning primary, secondary and tertiary irrigation canals (33 km), agriculture land and watershed. (FAO, 12 Apr 2017)"
Myanmar: Floods and Landslides - Jul 2015,Myanmar,Flood,https://reliefweb.int/disaster/fl-2015-000080-mmr,"Heavy rains caused floods and landslides in several parts of Myanmar since June 2015. On 30 July, Cyclone Komen made landfall in Bangladesh, bringing strong winds and additional heavy rains to the country, which resulted in widespread flooding across 12 of the country’s 14 states and regions (Ayeyarwady, Bago, Chin, Kachin, Kayin, Magway, Mandalay, Mon, Rakhine, Sagaing, Shan, Yangon). On 31 July, the President declared Chin and Rakhine states, and Magway and Sagaing regions as natural disaster zones."
Venezuela: Floods - Jul 2015,Venezuela,Flood,https://reliefweb.int/disaster/fl-2015-000085-ven,"Since 29 June 2015, heavy rainfalls in the south and southwest of Venezuela have caused river overflows and subsequent floodings, including in the states of Apure, Táchira, Mérida and Zulia. More than 40,000 people have been affected (UNCT, 7 Jul 2015).
On 9 July the overflow of the Bocono river affected some 2,000 families in the southwestern state of Trujillo, and the national government declared the state of emergency in the municipality of Páez in Apure. On 10 July, the humanitarian partners in Apure and Táchira, including UNHCR, coordinated aid delivery to the city of Guasdualito in Apure.(UNCT, 9 Jul 2015)"
Philippines: Floods and Landslides - Jun 2015,Philippines,Flash Flood,https://reliefweb.int/disaster/fl-2015-000081-phl,"About 800 people remain displaced in South Cotobato and Sultan Kudarat, in the southern Philippines, due to floods caused by heavy rains over 24-25 June. Over 1,900 hectares of agricultural farms have been damaged. The Province of Sultan Kudarat declared a state of calamity. The heavy rainfall is also seriously affecting the more than 30,000 people still displaced since the outbreak of fighting in February 2015 in Maguindanao. (ECHO Daily Flash of 27 Jun 2015)"
Costa Rica: Floods - Jun 2015,Costa Rica,Flood,https://reliefweb.int/disaster/fl-2015-000079-cri,"Since late June 2015 heavy and constant rains have affected various locations in central and eastern Costa Rica, causing damage and forcing evacuations in the provinces of Limón, Heredia and Cartago. On 27 June 2015, the government of Costa Rica declared a Red Alert for the Costa Rican Caribbean area, activated its Emergency Operations Centre (EOC) and deployed personnel to the affected areas to coordinate relief actions to support the affected families. On 30 June 2015, the president of Costa Rica declared a National Emergency. The DREF operation plans to assist 5,000 people over the next 3 months (IFRC, 7 July 2015).
Early August, the media reported floods caused by more heavy rains in central Limón. (RedHum, 3 Aug 2015)"
South Sudan: Cholera Outbreak - Jun 2015,South Sudan,Epidemic,https://reliefweb.int/disaster/ep-2015-000073-ssd,"On 23 Jun 2015, the Ministry of Health declared an outbreak of cholera in Juba County. Following the declaration, the national cholera taskforce was mandated to initiate concrete interventions for cholera prevention and control. (WHO/Govt, 22 Jun 2015)  By 27 Jun, the number of cases had increased to 347 including 26 deaths (WHO/Govt, 27 Jun 2015)."
Georgia: Floods - Jun 2015,Georgia,Flash Flood,https://reliefweb.int/disaster/fl-2015-000071-geo,"On 7 June 2015 heavy rains and hails caused flooding in the eastern part of Georgia affecting 8,800 people. On 13 Jun, the situation in the country escalated further when repeated heavy rains caused mud flow and flash flooding of the rivers Vere and Mtkvari, seriously affecting different central districts of the capital city of Tbilisi and also the surrounding villages. According to official sources, 16 people lost their lives and 24 people are still missing. Out of the 380 households affected, 100 families from Tbilisi and 180 families from the surrounding villages cannot return to their homes. (IFRC, 23 Jun 2015)"
Yemen: Dengue Outbreak - Jun 2015,Yemen,Epidemic,https://reliefweb.int/disaster/ep-2015-000074-yem,"Starting in 2000, Yemen faced repeated outbreaks of severe dengue. In 2015, an upsurge was reported after over 1 million people had been internally displaced and health systems had been disrupted. More than 3,000 suspected cases and three deaths were recorded between 27 Mar and 4 Jun. (WHO, 12 Jun 2015)"
Bangladesh: Floods and Landslides - Jun 2015,Bangladesh,Flash Flood,https://reliefweb.int/disaster/fl-2015-000068-bgd,"Since 24 June, torrential rains have set off flash floods and landslides in the low-lying areas in the south-eastern districts of Cox’ Bazar, Bandarban and Chittagong. The floods drowned hundreds of villages and killed at least 19 people, stranding over 200,000 according to the situation report published by the government’s Disaster Management Information Centre on June 28. The affected are facing a shortage of food supply, safe drinking water and are at the risk of being affected by water-borne diseases. (IFRC, 3 Jul 2015)"
India: Floods and Landslides - Jun 2015,India,Flash Flood,https://reliefweb.int/disaster/fl-2015-000064-ind,"Since the last week of July and into early August 2015, heavy rainfall at several places has resulted in extensive flooding and displacement of people. The flooding has thus far claimed around 293 lives across the country, with one million people seeking shelter in relief camps. Over 13.7 million people are currently affected by the floods. The most affected states include Assam, Gujarat, Madhya Pradesh, Manipur, Odisha, Rajasthan and West Bengal. (IFRC, 14 Aug 2015)"
Ethiopia: Drought - 2015-2024,Ethiopia,Drought,https://reliefweb.int/disaster/dr-2015-000109-eth,"While Ethiopia battles residual needs from the 2015/2016 El Niño-induced drought, below average 2016 autumn rains in the southern and southeastern parts of the country have led to a new drought in lowland pastoralist areas, as well as in pocket areas across the country. As a result, some 5.6 million people in Ethiopia require emergency food assistance in 2017. In addition, 2.7 million children and pregnant and lactating mothers require supplementary feeding, 9.2 million people need support to access safe drinking water, 1.9 million households need livestock support, and 300,000 children between 6-59 months old are targeted for the treatment for severe acute malnutrition in 2017. Drought conditions are expected to peak during the dry December to March jilaal season, which is likely to lead to a sharper deterioration in livestock body conditions, and impacting milk production and nutrition status of the families that depend on livestock for their food and income. During the dry season, the response will be complemented by supplementary food based on regular screenings to ensure the most vulnerable are reached. (OCHA, 17 Feb 2017)"
Southern Africa: Food Insecurity - 2015-2017,Malawi,Drought,https://reliefweb.int/disaster/dr-2015-000137-mwi,"Early warning signs provide alarming indications of looming significant food supply shortages that are likely to impact on the next marketing season. The rains experienced in late March and early April provided some relief to livestock farmers, but arrived too late for both staple foods and cash crops. These adverse weather conditions are likely to reduce crop production in southern Angola, Namibia, Botswana, Zimbabwe, Lesotho, Malawi, Madagascar and South Africa. The negative impact of flooding will also affect food security in Malawi, Madagascar and Mozambique. (OCHA, 29 May 2015)"
Somalia: Drought - 2015-2024,Somalia,Drought,https://reliefweb.int/disaster/dr-2015-000134-som,"The 2015-2016 El Niño phenomenon had a severe impact on vulnerable people in Somalia - it worsened an already widespread drought in Puntland and Somaliland with a devastating impact on communities and their livelihoods, increasing food insecurity, cash shortages and resulting in out-migration and death of livestock. Those affects are now emerging in other areas of the country, specifically in Jubaland in the south. Somaliland and Puntland have experienced below average rains for up to four seasons, spanning two years, and affecting nearly 1.4 million people. (OCHA, 28 Nov 2016)"
Pakistan: Floods - Apr 2015,Pakistan,Flash Flood,https://reliefweb.int/disaster/fl-2015-000017-pak,"Unseasonably early rainfall has been affecting parts of Pakistan since late February 2015. On 26 Apr, a severe storm in northwest Pakistan, dubbed a ""mini-cyclone"", killed 45 people. (DAWN, 28 Apr 2015)"
Ghana: Floods - Jun 2015,Ghana,Flash Flood,https://reliefweb.int/disaster/fl-2015-000065-gha,"Torrential rains started on 3 Jun 2015 and continued until the next day, impacting many parts of Ghana's Greater Accra region. The floods resulted in the displacement, loss of over 200 lives and loss of property and livelihoods. Red Cross assessment figures indicated that up to 46,370 people were affected; the Inter-Agency Working Group for Emergencies assessment indicated that 9,255 people have been displaced by the floods. (IFRC, 11 Jun 2015)"
DPR Korea: Drought - Jun 2015,DPRK,Drought,https://reliefweb.int/disaster/dr-2015-000072-prk,"A prolonged dry spell from April to early June 2015 in the main growing areas of DPR Korea affected the plantings and yield potential of food crops for the rest of the year. (FAO, 17 Jun 2015)  About US$6.3 million was allocated from the Central Emergency Response Fund (CERF) to respond to urgent needs. This funding has enabled UN agencies to rapidly scale up response operations and provide 1.3 million people, including 790,000 women and children, with life-saving assistance in four of the most affected provinces of South Hwanghae, North Hwanghae, South Pyongan and South Hamgyong. (OCHA, 13 Aug 2015)"
Burundi/Tanzania: Cholera Outbreak - May 2015,Tanzania,Epidemic,https://reliefweb.int/disaster/ep-2015-000058-tza,Tanzania
Latin America: Storm Surge - May 2015,El Salvador,Storm Surge,https://reliefweb.int/disaster/ss-2015-000054-slv,"Between 2-4 May 2015, an unusual phenomenon produced waves two meters above sea level that left behind dozens of victims, evacuees and damage to infrastructure on the Pacific Ocean side of Latin America. The El Salvadoran coast was among the hardest hit, with damage across the entire coastal line in the departments of Ahuachapán, Sonsonate, La Libertad, La Paz, San Vicente, Usulután and La Union. More than 1,300 people were evacuated: 514 were in shelters and 1,270 were providing their own shelter. Another segment of the population had migrated to areas where they had access to family shelters and to the Chapina Garita area. (IFRC, 16 May 2015) This phenomenon also affected other countries such as Chile, Panama, Guatemala, Mexico, Peru, Ecuador and Honduras, among others, with damages to houses, tourism sector and roads (OCHA, 4 May 2015)."
Tajikistan: Floods and Mudslides - May 2015,Tajikistan,Flood,https://reliefweb.int/disaster/fl-2015-000055-tjk,"Prolonged torrential rains caused a number of floods and mudslides between 11 and 13 May 2015 in Khatlon province and Hoit administrative center of the Rasht valley of Tajikistan. According to the rapid assessment results received from the Committee of Emergency Situations and Civil Defense and the Red Crescent Society of Tajikistan, 296 families (1,776 people) were severely affected. Most of the houses were heavily damaged and rendered unusable. Roads, bridges, schools, agricultural fields, family plots and four schools were also affected and destroyed. The affected population urgently needs shelter, food, hygiene and sanitation, drinking water and household appliances. (IFRC, 20 May 2015)"
Central African Republic: Floods - May 2015,CAR,Flash Flood,https://reliefweb.int/disaster/fl-2015-000053-caf,"On 24 Apr 2015, continuous storms resulted in extensive flooding, destruction of houses and loss of household belongings in several districts of Berbérati in south-western Central African Republic. According to a rapid assessment carried out by the local committee of the Red Cross, 210 households (1,109 people) were affected and 199 houses were destroyed. As of 5 May, the displaced population was being hosted by other households within Berbérati;  some were living in the open air. In addition, water and sanitation infrastructures had been submerged and contaminated, increasing the risk of spread of waterborne diseases. The situation was expected to worsen, as the CAR meteorological department had forecast that the rains will continue. (IFRC, 14 May 2015)"
Colombia: Floods and Landslides - Apr 2015,Colombia,Flash Flood,https://reliefweb.int/disaster/fl-2015-000056-col,"Flooding, windstorms and landslides affected more than 20,000 people in Colombia in April 2015. The rainy season in the southern and western departments had a particularly strong impact in the Amazonas department near the Peruvian and Brazilian border. In this remote area, where information access is limited, the authorities reported more than 4,000 people affected by flooding along the Amazonas river. The population affected is significant, considering that this is one of the country’s least densely populated areas. The floods also had a major impact on nearby Brazilian Amazonia communities. (OCHA, 30 Apr 2015)"
Nepal: Earthquakes - Apr 2015,Nepal,Earthquake,https://reliefweb.int/disaster/eq-2015-000048-npl,"On 25 April, a 7.8 magnitude earthquake struck Nepal, with the epicenter in Lamjung District (north-west) of Kathmandu (OCHA, 26 Apr 2015) toppling office blocks and towers and killing thousands of people. The earthquake also caused extensive casualties and damage in India, China and Bangladesh. (ECHO, 27 Apr 2015)"
Russian Federation: Forest Fires - Apr 2015,Russia,Fire,https://reliefweb.int/disaster/fr-2015-000046-rus,"Between 12-15 April 2015, due to the extremely dry weather, high air temperatures and heavy wind in the territory of Republic of Khakassia located in the South Siberian part of Russia, a massive forest fire covered a large territory of 38 settlements. 30 people were killed and 5,000 affected; about 1,000 houses, one school and two hospitals were destroyed. More than 4,000 people were evacuated. The federal government considers providing compensation of damage to the affected population and to build new houses to replace the destroyed ones by September 2015. Until this time, most of affected people will stay in temporary shelters. (IFRC, 24 Apr 2015)"
Rwanda: Floods and Landslides - Apr 2015,Rwanda,Flood,https://reliefweb.int/disaster/fl-2015-000042-rwa,"On 3 April 2015, heavy rainfall caused flooding and landslides in Nyamasheke and Rubavu districts in Rwanda's Western Province. The Rwanda Red Cross Society estimated that 3,425 people (685 households) had been affected; and were being accommodated in nearby communities after their homes were damaged. It has been reported that 206 hectares of crops were inundated, and household items washed away. In addition, water supply and sanitation infrastructures was flooded, increasing the risk of water and airborne diseases. (IFRC, 21 April 2015)"
Kazakhstan: Flash Floods - Apr 2015,Kazakhstan,Flash Flood,https://reliefweb.int/disaster/fl-2015-000039-kaz,"A sudden rise of temperature in central and eastern Kazakhstan resulted in the fast melting of snow that caused floods on 8-9 Apr 2015. A state of emergency was declared in the regions of Akmola, Karaganda and Pavlodar, situated in the eastern and northern parts of Kazakhstan. The floods destroyed several villages, transportation infrastructure and bridges and disrupted electricity and water supplies. More than 12,000 people were evacuated. Five districts were affected in Karaganda region alone; the total number of the affected people is 12,670, and over 11,000 people have been evacuated from their homes after more than 1,700 houses in 35 settlements were flooded and damaged. Two unconfirmed deaths have also been reported in Karaganda region. Hundreds of people have been displaced in the other four affected regions as well. (IFRC, 20 Apr 2015)"
Somalia: Floods - Apr 2015,Somalia,Flash Flood,https://reliefweb.int/disaster/fl-2015-000040-som,"Somalia's seasonal Gu rains started in April 2015 in most southern and central regions and in late March in northern parts of the country, causing localized flooding which had displaced 16,000 people by 25 May. In Lower and Middle Shabelle regions, the floods were caused by high water levels in the upper stream of Shabelle river and led to the displacement of 13,500 people, while flash floods due to heavy rains in Gaalkacyo in Mudug region displaced 2,700 people. The floods have also destroyed about 6,800 hectares of farmland. (OCHA, 25 May 2015)"
Haiti: Floods - Apr 2015,Haiti,Flash Flood,https://reliefweb.int/disaster/fl-2015-000037-hti,"Heavy rainfall over the weekend of 4-5 Apr 2015 affected almost 9,000 families in Haiti: 8,413 families in the West department (89 per cent in Cité Soleil and 8 per cent in Tabarre) and 449 families in Grande Anse. Six people died in flooding in Port-au-Prince, including five children. A total of 8,770 houses were flooded (85 per cent in Cité Soleil) and 62 destroyed (46 in Delmas and 16 in Grande Anse). 245 families evacuated spontaneously (mainly in Delmas and Tabarre). The main reasons for the damage caused are the lack of cleaning of drainage canals and unplanned construction in the ravines. Distribution of food and non-food items for the affected families and cleaning of the drainage system and ravines are the most urgent actions to be undertaken. The Civil Protection Department  is mobilizing existing contingency stocks of partners (mainly NGOs and UN) and coordinating the response with the help of OCHA. No official request for additional assistance has been made so far by the Haitian government. (ECHO, 8 Apr 2015)"
Paraguay: Floods - Apr 2015,Paraguay,Flood,https://reliefweb.int/disaster/st-2015-000041-pry,"On 4 Apr 2015, a severe storm hit several towns in the department of Concepción in northern Paraguay, affecting houses, crops and farm animals. Authorities estimate that 5,000 people were affected and have begun the response by providing roofing material, food and medical attention. OCHA is processing an application for emergency funds to support the authorities in the response. (OCHA, 13 Apr 2015) As per request from the Paraguayan Government, USAID channeled $50,000 through ADRA to support the response (Govt, 15 Apr 2015)."
Niger: Meningitis and Measles Outbreaks - Apr 2015,Niger,Epidemic,https://reliefweb.int/disaster/ep-2015-000043-ner,"Niger's Ministry of Public Health officially declared measles and meningitis outbreaks on 1 Apr 2015 (OCHA, 14 Apr 2015). As of 18 Apr, the meningitis outbreak had affected all regions except Diffa, with 905 cases recorded since the beginning of the year and a fatality rate of 9,39 per cent. Three health districts had reached the epidemic threshold, with Niamey being the most affected with almost 400 cases. The total number of measles cases stood at 3,080 since the beginning of the year, with 12 health districts having reached the epidemic threshold. Zinder was the most affected region with 2,072 cases. (OCHA, 20 Apr 2015)"
